Sampling Date,Site ID,Park ID,Project ID,Lat (°N),Long (°W),Water Temp (°C),COND,PH,DO (mg/L),"UV Absorbance, 254nm",DOC,"SUVA, 254nm",Total Iron [mg/L],"Fe Corr'd SUVA, 254nm",HPOA SUVA (254nm),HPOA %,HPON %,HPI SUVA (254nm),HPI %,TPIA SUVA (254nm),TPIA %,AMMONIA_N,NITRATE_NITRITE_N,"NO2-N 
(mg N/L)",PTL,"TDN 
(mg N/L)",UTN (mgN/L),"TDP 
(mg P/L)",UTP (mgP/L),CHLORIDE,SULFATE,"F 
(mg/L)","Br 
(mg/L)",SODIUM,POTASSIUM,CALCIUM,MAGNESIUM,TOC (mgC/L),ANC,DIC (mg/L),d18O,dD,Al (µg/L),P (µg/L),Ti (µg/L),Cr (µg/L),Mn (µg/L),Fe* (µg/L),Co (µg/L),Ni (µg/L),Cu (µg/L),Zn (µg/L),As (µg/L),Sr (µg/L),Cd (µg/L),Sn (µg/L),Sb (µg/L),Te (µg/L),Ba (µg/L),Pb (µg/L),FeTot?,Fe(II)/FeTot,Fe(II) (µg/L),Fe(III) (µg/L),
6/11/2015,AMST 1,NOAT,HEAT,67.49,-162.177,10.2,380.1,8.47,-,0.054,1.8,3,-,-,-,-,-,-,-,-,-,-,0.092,-,<0.004,0.13,0.17,<0.003,0.008,1.51,9.2,-,-,1.64,0.28,52.97,24.31,-,-,-,-16.1,-121,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
8/11/2015,AMST 1,NOAT,HEAT,67.49,-162.177,-,-,8.9,-,-,-,-,-,-,-,-,-,-,-,-,-,0.045,0.069,-,0.019,0.09,0.09,0.027,*0.000,1.31,1.04,-,-,0.87,0.4,2.49,0.73,0.36,95.55,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
9/18/2015,AMST 1,NOAT,HEAT,67.49,-162.177,4.1,600.8,8.35,12.9,0.01,0.8,1.2,-,-,-,-,-,-,-,-,-,*0.002,0.116,-,<0.004,0.14,0.15,<0.003,*0.000,1.69,10.74,-,-,1.48,0.27,24.44,26.16,-,-,-,-16.2,-122,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
8/8/2015,AMST 3,NOAT,HEAT,67.483,-162.215,12.3,339.2,8.33,9.5,0.046,2.5,1.8,-,-,-,-,-,-,-,-,-,*0.001,0.04,-,*0.000,0.27,0.12,*0.000,*0.001,0.88,13.06,-,-,2.28,0.32,52,14.62,-,-,-,-16.2,-121,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
9/18/2015,AMST 3,NOAT,HEAT,67.483,-162.215,2.6,431.4,8.22,13.8,0.051,2.1,2.4,-,-,-,-,-,-,-,-,-,*0.001,0.092,-,<0.004,0.18,0.16,<0.003,*0.000,0.99,13.25,-,-,1.91,0.24,30.24,15.12,-,-,-,-16.4,-122,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
6/9/2015,AMST 4 (Asik Creek),NOAT,HEAT,67.47379,-162.23207,4,243.7,8.18,-,0.034,1.2,2.8,-,-,-,-,-,-,-,-,-,-,0.106,-,<0.004,0.12,-,<0.003,0.006,0.81,7.42,-,-,1.15,0.2,40.29,8.76,-,-,-,-15.9,-119,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
8/7/2015,AMST 4 (Asik Creek),NOAT,HEAT,67.47379,-162.23207,8.8,270.2,8,10.6,0.021,1.2,1.7,-,-,-,-,-,-,-,-,-,*0.001,0.087,-,*0.001,0.17,0.12,*0.000,*0.002,0.99,9.44,-,-,1.35,0.21,50.45,11.33,-,-,-,-16.6,-123,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
9/19/2015,AMST 4 (Asik Creek),NOAT,HEAT,67.47379,-162.23207,-,-,-,-,0.018,1,1.7,*0.00,-,-,-,-,-,-,-,-,*0.004,0.122,-,*0.001,0.19,0.14,0.003,*0.000,0.92,9.19,-,-,1.3,0.2,45.53,11.05,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
6/7/2016,AMST 4 (Asik Creek),NOAT,HEAT,67.47379,-162.23207,7.5,265.7,7.21,12,0.037,1.4,2.7,*0.00,-,-,-,-,-,-,-,-,*0.000,0.089,-,0.003,0.15,0.16,*0.001,0.003,0.88,7.61,-,-,1.25,0.22,43.53,9.64,0.76,,31.59,-17.1,-127,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
8/12/2016,AMST 4 (Asik Creek),NOAT,HEAT,67.47379,-162.23207,12.8,389.6,7.65,10.6,0.018,1.1,1.7,*0.01,-,-,-,-,-,-,-,-,*0.001,0.077,-,*0.001,0.14,0.12,*0.001,*0.001,0.93,9.77,-,-,1.36,0.22,54.26,11.81,-,106.7,37.37,-17,-126,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
9/8/2016,AMST 4 (Asik Creek),NOAT,HEAT,67.47379,-162.23207,3.1,337.6,7.75,13.8,0.019,0.9,2.1,*0.00,-,-,-,-,-,-,-,-,*0.007,0.135,-,*0.000,0.18,0.16,*0.000,*0.000,1,8.69,-,-,1.25,0.19,51.82,11.21,0.61,95.45,34.98,-16.7,-122,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
6/8/2017,AMST 4 (Asik Creek),NOAT,HEAT,67.47379,-162.23207,6.7,268.6,8,12.2,0.048,1.7,2.8,*0.01,-,-,-,-,-,-,-,-,*0.005,0.071,-,*0.001,0.13,0.13,*0.001,*0.002,1.04,5.04,-,-,1.08,0.17,31.25,6.02,1.19,74.32,20.46,-17.2,-125,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
8/17/2017,AMST 4 (Asik Creek),NOAT,HEAT,67.47379,-162.23207,5.9,321.6,8,12.7,0.025,1.3,1.9,*0.00,-,-,-,-,-,-,-,-,*0.005,0.094,-,*0.001,0.15,0.11,*0.002,*0.001,0.95,7.68,-,-,1.28,0.16,45.16,9.74,0.79,103.63,29.73,-16.7,-123,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
6/12/2018,AMST 4 (Asik Creek),NOAT,HEAT,67.47379,-162.23207,5.5,309.8,8.2,12.4,0.035,1.6,2.3,*0.06,-,-,-,-,-,-,-,-,0.011,0.114,-,*.0.001,0.17,0.14,*0.002,*0.000,1.14,6.65,-,-,1.32,0.18,36.26,7.96,0.8,77.97,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
